feature_id,feature_label,omics_layer,original_primary_candidate_tier,direct_detected_feature,result_level_evidence_present,n_evidence_records,n_independent_studies,n_direction_coded_records,n_increase_records,n_decrease_records,majority_direction_ratio,n_significant_records,n_significant_independent_studies,median_effect_percentile,best_effect_percentile,disease_context_count,has_activity_or_remission_evidence,has_longitudinal_or_treatment_evidence,mechanism_level,feature_in_locked_model_space,nonzero_coefficient_count,supported_task_count,selection_frequency,primary_axis_support,permutation_supported_modality,evidence_frequency_raw_bin,evidence_frequency_score,direction_raw_bin,direction_score,effect_raw_bin,effect_strength_score,disease_process_raw_bin,disease_process_score,mechanism_raw_bin,mechanism_score,model_raw_bin,model_support_score,conservative_total_score,available_max_score,available_evidence_normalized_score,evidence_completeness,recalculated_manuscript_evidence_tier,tier_match_flag,tier_mismatch_reason,score_source_status,any_absence_defined_zero,any_reconstructed_nonzero,provenance_complete_flag,manual_review_flag
microbe__kSGB_15286:Species:k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Subdoligranulum_s__Subdoligranulum_sp_APC924_74_t__SGB15286__dup2,kSGB_15286:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_sp_APC924_74|t__SGB15286,microbiome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,7863,277,575,223,352,0.612,518,49,0.7251765225066196,0.9989125706829056,6,True,True,5,True,1,1,0.0,False,True,5,20.0,2,8.0,3,9.0,5,15.0,5,15.0,2,6.0,73.0,100,73.0,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
metabolome::metabolite__cholic_acid-C14:0,metabolome::metabolite__cholic_acid-C14:0,metabolome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,44,2,0,0,0,,0,0,,,0,False,False,5,True,1,1,0.0,True,True,2,8.0,0,0.0,0,0.0,0,0.0,5,15.0,2,6.0,29.0,100,28.999999999999996,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
microbiome::microbe__cholic_acid-C14:0,microbiome::microbe__cholic_acid-C14:0,microbiome,Tier 3 - gut-omics mechanism/model-supported candidate,True,True,44,2,0,0,0,,0,0,,,0,False,False,5,True,1,1,0.0,True,True,2,8.0,0,0.0,0,0.0,0,0.0,5,15.0,2,6.0,29.0,100,28.999999999999996,1.0,Evidence Tier I,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.7.1.69,EC:2.7.1.69,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,17,7,0,0,0,,1,1,0.3203125,0.3203125,1,False,True,0,True,1,3,0.0,True,True,4,16.0,0,0.0,1,3.0,1,3.0,0,0.0,3,9.0,31.0,100,31.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:5.1.3.3,EC:5.1.3.3,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,14,10,0,0,0,,4,3,0.6190476190476191,0.6666666666666666,2,True,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,2,6.0,0,0.0,3,9.0,44.0,100,44.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:1.2.7.3,EC:1.2.7.3,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,15,9,0,0,0,,6,5,0.7139136904761905,1.0,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.5.1.49,EC:2.5.1.49,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,21,9,0,0,0,,8,4,0.6071428571428571,0.9782608695652174,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.8.1.7,EC:2.8.1.7,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,16,11,0,0,0,,4,2,0.8410011574074074,0.8671875,2,True,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,4,12.0,2,6.0,0,0.0,3,9.0,47.0,100,47.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:3.4.21.89,EC:3.4.21.89,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,14,8,0,0,0,,4,3,0.7142857142857143,0.7894736842105263,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:3.6.3.17,EC:3.6.3.17,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,15,9,0,0,0,,6,5,0.5661485524442336,0.9375,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
