feature_id,feature_label,omics_layer,original_primary_candidate_tier,direct_detected_feature,result_level_evidence_present,n_evidence_records,n_independent_studies,n_direction_coded_records,n_increase_records,n_decrease_records,majority_direction_ratio,n_significant_records,n_significant_independent_studies,median_effect_percentile,best_effect_percentile,disease_context_count,has_activity_or_remission_evidence,has_longitudinal_or_treatment_evidence,mechanism_level,feature_in_locked_model_space,nonzero_coefficient_count,supported_task_count,selection_frequency,primary_axis_support,permutation_supported_modality,evidence_frequency_raw_bin,evidence_frequency_score,direction_raw_bin,direction_score,effect_raw_bin,effect_strength_score,disease_process_raw_bin,disease_process_score,mechanism_raw_bin,mechanism_score,model_raw_bin,model_support_score,conservative_total_score,available_max_score,available_evidence_normalized_score,evidence_completeness,recalculated_manuscript_evidence_tier,tier_match_flag,tier_mismatch_reason,score_source_status,any_absence_defined_zero,any_reconstructed_nonzero,provenance_complete_flag,manual_review_flag
microbe__EC:3.6.4.13,EC:3.6.4.13,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,16,8,0,0,0,,6,5,0.5734375,0.9761904761904762,0,False,False,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,0,0.0,0,0.0,3,9.0,38.0,100,38.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:4.1.1.3,EC:4.1.1.3,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,13,7,0,0,0,,5,3,0.9457908163265306,0.9540816326530612,1,False,True,0,True,1,3,0.0,True,True,4,16.0,0,0.0,5,15.0,1,3.0,0,0.0,3,9.0,43.0,100,43.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:4.1.2.13,EC:4.1.2.13,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,17,11,0,0,0,,6,4,0.5813953488372093,0.8620689655172413,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:5.2.1.8,EC:5.2.1.8,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,12,8,0,0,0,,5,3,0.39174107142857145,0.6428571428571429,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,1,3.0,1,3.0,0,0.0,3,9.0,35.0,100,35.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:3.2.1.52,EC:3.2.1.52,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,19,10,0,0,0,,6,4,0.8518518518518519,0.9130434782608695,2,True,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,5,15.0,2,6.0,0,0.0,3,9.0,50.0,100,50.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:3.1.3.16,EC:3.1.3.16,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,12,8,0,0,0,,4,3,0.5115327380952381,0.546875,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:3.6.1.1,EC:3.6.1.1,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,13,9,0,0,0,,3,2,0.2,0.2,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,1,3.0,1,3.0,0,0.0,3,9.0,35.0,100,35.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:3.2.1.20,EC:3.2.1.20,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,11,6,0,0,0,,5,3,0.5925925925925926,0.75,1,False,True,0,True,1,3,0.0,True,True,4,16.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,37.0,100,37.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.3.1.54,EC:2.3.1.54,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,16,10,0,0,0,,4,3,0.631578947368421,0.8046875,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.7.1.11,EC:2.7.1.11,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,16,11,0,0,0,,7,6,0.7734375,0.9347826086956522,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,5,15.0,1,3.0,0,0.0,3,9.0,47.0,100,47.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:1.2.7.11,EC:1.2.7.11,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,2,1,0,0,0,,0,0,,,0,False,False,0,True,1,3,0.0,True,True,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,3,9.0,13.0,100,13.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
