task,modality,curve_type,x,y,threshold,fold,positive_class,notes
CD vs UC,metabolome,ROC,0.11602209944751381,0.17647058823529413,0.8353392590136562,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.11602209944751381,0.18627450980392157,0.8330861802162708,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.11602209944751381,0.19607843137254902,0.8276242576598875,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.11602209944751381,0.20588235294117646,0.8245306581764851,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.11602209944751381,0.21568627450980393,0.8140614402742196,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.12154696132596685,0.21568627450980393,0.8037606960882203,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.1270718232044199,0.21568627450980393,0.8001041640681662,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.1270718232044199,0.22549019607843138,0.7952847684614713,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.1270718232044199,0.23529411764705882,0.7949193618501781,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.1270718232044199,0.24509803921568626,0.7940498362350898,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.13259668508287292,0.24509803921568626,0.7828480898696141,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.13259668508287292,0.2549019607843137,0.7526792560690552,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.13259668508287292,0.2647058823529412,0.7522325883609536,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.13812154696132597,0.2647058823529412,0.7509501445710959,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.13812154696132597,0.27450980392156865,0.739920982048845,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.13812154696132597,0.28431372549019607,0.7390209997570951,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.143646408839779,0.28431372549019607,0.7341043446880986,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.14917127071823205,0.28431372549019607,0.7317490402183509,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.15469613259668508,0.28431372549019607,0.6870210947533951,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16022099447513813,0.28431372549019607,0.6841092920656738,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16022099447513813,0.29411764705882354,0.6719600328804035,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16022099447513813,0.30392156862745096,0.6512476893068382,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16022099447513813,0.3137254901960784,0.6297781536763618,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16022099447513813,0.3235294117647059,0.628794470247918,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16022099447513813,0.3333333333333333,0.6260729304278718,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16022099447513813,0.3431372549019608,0.6006988947664911,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16022099447513813,0.35294117647058826,0.5994144742196188,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16574585635359115,0.35294117647058826,0.5932550239529139,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16574585635359115,0.3627450980392157,0.592737856987768,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.16574585635359115,0.37254901960784315,0.5909781349116883,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.1712707182320442,0.37254901960784315,0.5799781675548089,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.1712707182320442,0.38235294117647056,0.5701002754568131,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.1712707182320442,0.39215686274509803,0.5697275477038664,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.1712707182320442,0.4019607843137255,0.5686255690216793,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.17679558011049723,0.4019607843137255,0.5625216966035004,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.18232044198895028,0.4019607843137255,0.5548690378153353,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.1878453038674033,0.4019607843137255,0.5536832006131017,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.19337016574585636,0.4019607843137255,0.5505284602134459,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.19889502762430938,0.4019607843137255,0.5437342708829678,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.19889502762430938,0.4117647058823529,0.5372868779197005,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.20441988950276244,0.4117647058823529,0.5263172370266724,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.20441988950276244,0.4215686274509804,0.5133987785774669,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.20441988950276244,0.43137254901960786,0.5125393420738004,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.20994475138121546,0.43137254901960786,0.4959264460762658,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.20994475138121546,0.4411764705882353,0.494641401599913,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.20994475138121546,0.45098039215686275,0.4932958350376539,pooled_oof,CD,x=FPR y=TPR pooled OOF
