pool_feature_id,original_feature_name,original_feature_identifier,harmonised_feature_name,omics_type,source_evidence_count,source_study_count,source_files,first_source_file,first_source_sheet_or_page,first_source_row,direct_detected_status,model_layer_meta_feature_status,retention_status,retention_or_exclusion_reason
metabolite__Butyric_acid,Butyric acid,metabolite__Butyric_acid,Butyric acid,metabolome,303,56,<PROJECT_ROOT>\References\复筛后文献原文\Gut Microbiome and Metabonomic Profi Source Microbiol Spectr SO 2023.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0053.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0067.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0095.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0108.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0131.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0136.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0138.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0150.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0152.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0171.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0181.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0183.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0194.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0218.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0258.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0267.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0277.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0282.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0283.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0285.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0287.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0296.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0297.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0302.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0304.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0305.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0308.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0318.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0329.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0361.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0374.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0403.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0428.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0436.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0479.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0481.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0491.pdf;<PROJECT_ROOT>\References\复筛后文献原文\The impact of gut microbiome enterot Source Gut Microbes SO 2024.pdf;<PROJECT_ROOT>\References\复筛后文献原文\__28.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0053\gigascience_6_7_gix050_s1.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0053\gigascience_6_7_gix050_s10.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0053\gigascience_6_7_gix050_s2.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0053\gigascience_6_7_gix050_s3.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0082\41586_2019_1237_MOESM3_ESM.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0106\41467_2020_17956_MOESM3_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0106\41467_2020_17956_MOESM5_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0234.docx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0244\Table 7.XLSX;<PROJECT_ROOT>\References\复筛后文献补充材料\S0258\spectrum.01457-23-s0005.docx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0258\spectrum.01457-23-s0006.docx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0263\Table 1.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM10_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM11_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM6_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM9_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0308\supplementary_material_revision.docx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0313\1-s2.0-S2666379124003288-mmc6.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0318\1-s2.0-S0021925824000516-mmc5.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0318\1-s2.0-S0021925824000516-mmc6.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0323\1-s2.0-S0002916523663609-mmc2.docx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0324\1-s2.0-S0002916523663609-mmc2.docx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0340\jb.00426-23-s0002.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0388\mnfr70090-sup-0002-suppmatfile1.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0398\ueg270073-sup-0002-suppl-data.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0411\41467_2025_59229_MOESM1_ESM.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0428\41467_2025_62217_MOESM5_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0436\535_2025_2280_MOESM5_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0448\kgmi_a_2597568_sm6606.xlsx;mechanism_mapping;model,mechanism_mapping,butyrate-producing bacteria depletion,metabolite__Butyric_acid,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,not_model_layer_meta_feature,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.
metabolite__Deoxycarnitine,Deoxycarnitine,metabolite__Deoxycarnitine,Deoxycarnitine,metabolome,8,5,<PROJECT_ROOT>\References\复筛后文献原文\S0040.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0126.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0040\mbo004162947st4.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM10_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0398\ueg270073-sup-0002-suppl-data.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0448\kgmi_a_2597568_sm6606.xlsx;mechanism_mapping;model,mechanism_mapping,bile acid metabolism disruption,metabolite__Deoxycarnitine,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,not_model_layer_meta_feature,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.
metabolite__Deoxycholate,Deoxycholate,metabolite__Deoxycholate,Deoxycholate,metabolome,51,23,<PROJECT_ROOT>\References\复筛后文献原文\Harder 等 - 2024 - Comprehensive profiling of the human fecal proteome from IBD patients with DIA‐MS enables evaluation.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0082.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0084.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0132.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0158.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0201.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0303.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0340.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0353.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0384.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0386.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0464.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0486.pdf;<PROJECT_ROOT>\References\复筛后文献原文\__142.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0082\Supplementary Tables 1-28.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0082\Supplementary Tables 35-36.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0084\41467_2019_10927_MOESM4_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0084\41467_2019_10927_MOESM5_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0084\41467_2019_10927_MOESM6_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0084\41467_2019_10927_MOESM8_ESM.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0142\41467_2021_23029_MOESM7_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0158\1-s2.0-S1931312821003012-mmc3.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0286.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM10_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM9_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0340\jb.00426-23-s0002.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0398\ueg270073-sup-0002-suppl-data.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0427\Supplementary Data.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0436\535_2025_2280_MOESM5_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0448\kgmi_a_2597568_sm6606.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0479\1-s2.0-S1931312821003012-mmc3.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0486\jci.insight.202461.sd.pdf;mechanism_mapping;model,mechanism_mapping,bile acid metabolism disruption,metabolite__Deoxycholate,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,not_model_layer_meta_feature,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.
metabolite__Isobutyric_acid,Isobutyric acid,metabolite__Isobutyric_acid,Isobutyric acid,metabolome,81,16,<PROJECT_ROOT>\References\复筛后文献原文\Gut Microbiome and Metabonomic Profi Source Microbiol Spectr SO 2023.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0131.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0150.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0258.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0282.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0285.pdf;<PROJECT_ROOT>\References\复筛后文献原文\S0287.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0244\Table 7.XLSX;<PROJECT_ROOT>\References\复筛后文献补充材料\S0244\Table 8.XLSX;<PROJECT_ROOT>\References\复筛后文献补充材料\S0258\spectrum.01457-23-s0006.docx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM10_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM6_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0307\41467_2024_48106_MOESM9_ESM.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0313\1-s2.0-S2666379124003288-mmc6.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0318\1-s2.0-S0021925824000516-mmc5.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0318\1-s2.0-S0021925824000516-mmc6.xlsx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0323\1-s2.0-S0002916523663609-mmc2.docx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0324\1-s2.0-S0002916523663609-mmc2.docx;<PROJECT_ROOT>\References\复筛后文献补充材料\S0411\41467_2025_59229_MOESM1_ESM.pdf;<PROJECT_ROOT>\References\复筛后文献补充材料\S0436\535_2025_2280_MOESM5_ESM.xlsx;mechanism_mapping;model,mechanism_mapping,butyrate-producing bacteria depletion,metabolite__Isobutyric_acid,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,not_model_layer_meta_feature,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.
