target_path,source_path,file_name,extension,sha256,copied_time,public_release_status,notes
data/processed/six_dimension_scores.csv,<PROJECT_ROOT>\Fingerprint Tables\six-dimension\all_candidate_six_dimension_scores_recalculated.csv,six_dimension_scores.csv,.csv,4681c367c7be27270a5278570e397a93c7de51545d1c142f280b662d170b8159,2026-06-20T14:15:34,derived_from_supplementary_table,Six-dimensional score table; wrapper/audit-level reproducibility.
data/processed/tier_rule_definitions_recovered.csv,<PROJECT_ROOT>\Fingerprint Tables\candidate_fingerprint_completion\data_recovered_legacy\tier_rule_definitions_recovered.csv,tier_rule_definitions_recovered.csv,.csv,0429d7fd01b1c6985188f7b37595f49bc7c362fe4309d615cb51d0fe9218fb66,2026-06-20T14:15:34,derived_from_supplementary_table,Recovered tier rules from supplementary table audit.
data/processed/candidate_499_master_table.csv,<PROJECT_ROOT>\Fingerprint Tables\candidate_fingerprint_completion\data_recovered_legacy\legacy_candidate_499_validated.csv,candidate_499_master_table.csv,.csv,1a584b73624f97a4316cf0d1cfe34d6dcb6ade39ead7f394c699a88393f6e0de,2026-06-20T14:15:34,release_ready_audit_table,Validated 499 candidate master table.
data/processed/candidate_retention_audit.csv,<PROJECT_ROOT>\Fingerprint Tables\candidate_fingerprint_completion\data_rebuilt_fresh\fresh_direct_detected_candidates.csv,candidate_retention_audit.csv,.csv,8a4897b65034d6b1941b7ae45d411268a75ea2706914a5d00539a601e40e8616,2026-06-20T14:15:34,release_ready_audit_table,Fresh reconstruction/retention audit.
data/processed/metabolite_filter_audit.csv,<PROJECT_ROOT>\Fingerprint Tables\candidate_fingerprint_completion\data_rebuilt_fresh\fresh_metabolome_candidate_pool.csv,metabolite_filter_audit.csv,.csv,44ea8db67ce37e586329de86ed7154b1d2f9426d617721db86d00ef688bfcfd4,2026-06-20T14:15:34,processed_or_audit_level_reproducibility,"Raw 81,867-feature matrix not redistributed."
data/processed/microbiome_filter_audit.csv,<PROJECT_ROOT>\Fingerprint Tables\candidate_fingerprint_completion\data_rebuilt_fresh\fresh_microbiome_candidate_pool.csv,microbiome_filter_audit.csv,.csv,60b6a1887b189191bb4d4af9b1af621604570d4bc1cbf871dcbcc128ce894752,2026-06-20T14:15:34,processed_or_audit_level_reproducibility,Raw upstream matrix not redistributed.
data/processed/feature_filtering_trace.csv,<PROJECT_ROOT>\Fingerprint Tables\candidate_fingerprint_completion\data_rebuilt_fresh\fresh_feature_filtering_trace.csv,feature_filtering_trace.csv,.csv,9957af4eb55136ddc0c8af61b64b0034cb49ac312da2fee5ba7306bca61f5188,2026-06-20T14:15:34,processed_or_audit_level_reproducibility,Candidate filtering trace.
data/processed/hmp2_microbiome_processed_matrix.csv,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\data\internal\hmp2_microbiome_processed_matrix.csv,hmp2_microbiome_processed_matrix.csv,.csv,f20596121663d277dc3127409994c75f2a9c5e3f075e11aee540e4bc8d7c3b82,2026-06-20T14:15:34,release_ready_processed_matrix,Recovered HMP2/IBDMDB processed matrix/audit table; raw source data not redistributed.
data/processed/hmp2_metabolome_processed_matrix.csv,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\data\internal\hmp2_metabolome_processed_matrix.csv,hmp2_metabolome_processed_matrix.csv,.csv,5f21a6c6c08dceb044ea815ff8c5406f59bf9153a7d3cf5e5425a3adc935b948,2026-06-20T14:15:35,release_ready_processed_matrix,Recovered HMP2/IBDMDB processed matrix/audit table; raw source data not redistributed.
data/processed/hmp2_sample_metadata.csv,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\data\internal\hmp2_sample_metadata.csv,hmp2_sample_metadata.csv,.csv,5b62537c5e393d762a37f5c851b079087039ea2d4eafdc583b3b2313e9b08873,2026-06-20T14:15:35,release_ready_processed_matrix,Recovered HMP2/IBDMDB processed matrix/audit table; raw source data not redistributed.
