panel,task,modality,x,y
D,UC vs nonIBD,microbiome,0.0,0.0
D,UC vs nonIBD,microbiome,0.0,0.00980392156862745
D,UC vs nonIBD,microbiome,0.0,0.049019607843137254
D,UC vs nonIBD,microbiome,0.009523809523809525,0.049019607843137254
D,UC vs nonIBD,microbiome,0.009523809523809525,0.0784313725490196
D,UC vs nonIBD,microbiome,0.01904761904761905,0.0784313725490196
D,UC vs nonIBD,microbiome,0.01904761904761905,0.08823529411764706
D,UC vs nonIBD,microbiome,0.0380952380952381,0.08823529411764706
D,UC vs nonIBD,microbiome,0.0380952380952381,0.12745098039215685
D,UC vs nonIBD,microbiome,0.047619047619047616,0.12745098039215685
D,UC vs nonIBD,microbiome,0.047619047619047616,0.17647058823529413
D,UC vs nonIBD,microbiome,0.06666666666666667,0.17647058823529413
D,UC vs nonIBD,microbiome,0.06666666666666667,0.22549019607843138
D,UC vs nonIBD,microbiome,0.0761904761904762,0.22549019607843138
D,UC vs nonIBD,microbiome,0.0761904761904762,0.23529411764705882
D,UC vs nonIBD,microbiome,0.08571428571428572,0.23529411764705882
D,UC vs nonIBD,microbiome,0.08571428571428572,0.2647058823529412
D,UC vs nonIBD,microbiome,0.09523809523809523,0.2647058823529412
D,UC vs nonIBD,microbiome,0.09523809523809523,0.27450980392156865
D,UC vs nonIBD,microbiome,0.10476190476190476,0.27450980392156865
D,UC vs nonIBD,microbiome,0.10476190476190476,0.28431372549019607
D,UC vs nonIBD,microbiome,0.11428571428571428,0.28431372549019607
D,UC vs nonIBD,microbiome,0.11428571428571428,0.30392156862745096
D,UC vs nonIBD,microbiome,0.14285714285714285,0.30392156862745096
D,UC vs nonIBD,microbiome,0.14285714285714285,0.3137254901960784
D,UC vs nonIBD,microbiome,0.1619047619047619,0.3137254901960784
D,UC vs nonIBD,microbiome,0.1619047619047619,0.3235294117647059
D,UC vs nonIBD,microbiome,0.18095238095238095,0.3235294117647059
D,UC vs nonIBD,microbiome,0.18095238095238095,0.3333333333333333
D,UC vs nonIBD,microbiome,0.2,0.3333333333333333
D,UC vs nonIBD,microbiome,0.2,0.3431372549019608
D,UC vs nonIBD,microbiome,0.22857142857142856,0.3431372549019608
D,UC vs nonIBD,microbiome,0.22857142857142856,0.35294117647058826
D,UC vs nonIBD,microbiome,0.23809523809523808,0.35294117647058826
D,UC vs nonIBD,microbiome,0.23809523809523808,0.3627450980392157
D,UC vs nonIBD,microbiome,0.2571428571428571,0.3627450980392157
