plot_group,n_samples,n_subjects,mean_score,median_score
CD,181,49,-0.07640579626103063,-0.0852093072247402
HC/nonIBD,105,26,-0.059078600837345584,-0.0336307593964515
UC,102,30,0.1963990412859592,0.05825383711490785
