task,modality,n_samples,n_positive,n_negative,positive_class,AUROC_recomputed_from_plotted_predictions,AUPRC_recomputed_from_plotted_predictions,baseline_prevalence
UC vs nonIBD,microbiome,207,102,105,UC,0.6026143790849673,0.6275742113535197,0.4927536231884058
UC vs nonIBD,metabolome,207,102,105,UC,0.8548085901027077,0.8944515983935917,0.4927536231884058
UC vs nonIBD,paired_late_fusion,207,102,105,UC,0.7987861811391224,0.8468885895137651,0.4927536231884058
CD vs nonIBD,microbiome,286,181,105,CD,0.5376479873717444,0.6446998711895557,0.6328671328671329
CD vs nonIBD,metabolome,286,181,105,CD,0.8270455143383321,0.8976030305601386,0.6328671328671329
CD vs nonIBD,paired_late_fusion,286,181,105,CD,0.7315443304393582,0.8224092268614112,0.6328671328671329
