relative_path,size_bytes,md5,sha256
data/figure_source_data/figure3_panel_E_source_trace.csv,566,724FA74BBE2342E37CD50B57C095C973,6747b3f0f602cef1b52db48ea69b5e362b8e2bda9cd52d528ba76bde9a79003c
data/figure_source_data/figure4_figure4_tier1_master_table.csv,13008,5144B69F9F0139D69DC9C49E30ED0CA3,d33c629f201180337667959af7749146b1842f9d00f887d9869feb533b91e230
data/figure_source_data/figure4_panel_A_evidence_matrix.csv,3076,0AEC869CEB0B653F1F1AAC6D3B3E94BB,e9888c062261ef586e53152bc1910e86f6b3d4ee37838f32f10136f5363e5518
data/figure_source_data/figure4_panel_A_source_trace.csv,14753,2236DD875847C817C6C34BD491A045ED,a8b495fab75a1e437ff2cf8fdc4c79bea9ef0ce38f5d1e9c49a6f7f36552bcb7
data/figure_source_data/figure5_panel_BC_locked_representative_performance.csv,4091,8C3AEB6AA2CB754E1C4F9275D51890BD,4881f2e3f141c861fa62fa43119d4f2f4e0efd7b9789d3b79123249f2753e646
data/figure_source_data/figure5_panel_DE_curve_points.csv,134544,D7FE658A01125BF26FD924418507871E,42a6fe023a7778d0b844250e760df5a4277df441a6087a0d8c67249fe264a821
data/figure_source_data/figure5_panel_DE_locked_representative_predictions.csv,258831,8FDCA3D685B99C43430683F0731AE9E9,3d52d9de2d625901bdbb01a3cf7b6fa1345981309a0ee8b8b0cfba67619075b7
data/figure_source_data/figure5_panel_DE_recomputed_curve_metrics.csv,764,5CD6831E030D0FFD5341E795255EEA92,99094583a73ce851159a402539bbab6426df36f2c13da08a0ff2d794c2938774
data/figure_source_data/figure5_panel_F_calibration_bins_used.csv,1291,DA12036B437CD201E8449F4C78AE99C0,e51ece6e9c2d7f597adfd75bfba29d6a88198a9fc1d6d97d9bffc78c53a09ea7
data/figure_source_data/figure5_panel_H_state_score_distribution_source.csv,202602,04EC13FA519196D44A02158BC7139D3C,ff3270abc632cc88d5b6b4bb421d575ca52bf53c26acde3eded16d2c5ca6010a
data/figure_source_data/figure5_panel_H_state_score_group_counts.csv,219,2E58382F163746C77FD73693920CB129,58846bc409b5b852f1c919a57267a028cb64bfff3c9c75195aa2bcd3256613d9
data/figure_source_data/figure6_st001000_feature_matching_table.csv,36322,C3549BC84F3C1C88CD4D9134982DBEC6,e7733b1e0418da2083d7338cb23f6e505b5bfb2ce2b92050d113b4f7be5a003d
data/figure_source_data/figure6_st001000_performance_summary.csv,6560,52A896B5CB0E69E41F4A22DDBE0B97C9,2768da7aa0df6c641cddfa1ab6a07e3ac0f48b1b915fb39d8f73f7ef528883ff
data/figure_source_data/figure6_st001000_projection_scores.csv,502781,5EDD5A697E2611B6703B73173035BC78,c6a29e494403c26cf41a14308dcb36fb5d0ec429e5d4925d0c31755a444a14b7
data/figure_source_data/figure6_st001000_unmatched_feature_reasons.csv,19176,EA83C2B6891539C778F97228AA1CEE51,f8cc986e3c00637bc3fd2ea215b7971042ca7ed7f6fbea07a46a68b37b0e60d6
data/figure_source_data/figure_source_data_status.csv,6260,FB31DE345DBE255F6D8F9EE23898FBAD,0ed52b724e26b1604dbceb7f55d2f53663bc61232cd4fdb94f57e2bea09198c7
data/model_coefficients/locked_feature_manifest.csv,415756,996C0C06DC7FAD2B27E351C3EFF1A1D3,7cf094b8a85567d5e655d31fe28f06ebfe30bcd09d372fe97e40efd4bee4b19b
data/model_coefficients/locked_late_fusion_coefficients.csv,1844,C5438D31A8BA4592EB2DBD91993EE302,b97db96f770bdc3e96ea0a9418a3b14c26b40aa8a224eb581ffb0f160a11e38c
data/model_coefficients/locked_metabolome_coefficients.csv,24928,724CCE9339486788E3697DF5D454D9EC,77a216b1640916c6895d55561bd4c2a8bef38169f7e20ece5c2593a313851f60
data/model_coefficients/locked_microbiome_coefficients.csv,92454,B3B052185C1BEA5CC9849C7E297F27E7,4607de7854d363bd31c75411675f91bc371891ef47ecf87c93cdf584730daff9
data/model_coefficients/locked_model_intercepts.csv,2144,21BD9F2C06C3788416282CD91A9EDFDE,b658f18738edd85d928f330726e9b1444cf88599d504a9191b03f4c678fd6863
data/model_coefficients/locked_scaling_parameters.csv,152285,83E572EB37AFB9CCC9A867EBAD00B60D,fd9a27f822cf16308a8dcbf419bf8524cfd804f74f2e59239757a084a5d904a3
data/processed/candidate_499_master_table.csv,1163666,9071440483367843CDD61698330A8E37,1a584b73624f97a4316cf0d1cfe34d6dcb6ade39ead7f394c699a88393f6e0de
data/processed/candidate_filtering_chain_summary.csv,608,05473FB145C9AC4ADF290BCA66825D59,6228c256fb3c2045042a04e432a65e17c5809af69b86e5a2e576542d658a4f38
data/processed/candidate_retention_audit.csv,1917385,EA8F2522DECC5E48573E9B6518D32A49,8a4897b65034d6b1941b7ae45d411268a75ea2706914a5d00539a601e40e8616
data/processed/feature_filtering_trace.csv,115757,470604575DB2EEA36E46FF8ADDF82698,9957af4eb55136ddc0c8af61b64b0034cb49ac312da2fee5ba7306bca61f5188
data/processed/hmp2_metabolome_processed_matrix.csv,3056717,1B73EC92A1DBECFE75FA6CFE032B0501,5f21a6c6c08dceb044ea815ff8c5406f59bf9153a7d3cf5e5425a3adc935b948
